active_weeks,target_variable,total_volume,trader_activity_status,trader_volume_status,trader_weekly_frequency_status,tx_count_365d,wallet
1,🔴 Bad Trader,412.16314656,🐣 Occasional User,🐟 Middle Value Trader,🐣 Unserious,1,0x46f884a01723cd148660e81722f25dd45a2de5c8
1,🔴 Bad Trader,280.9003356,🐤 Regular User,🐟 Middle Value Trader,🐣 Unserious,2,0x1be0ada3e6ed0801732a31e64e784c6c8fa4078f
1,🔴 Bad Trader,5606.158793271576,🐣 Occasional User,🐟 Middle Value Trader,🐣 Unserious,1,0xaa7d22c5cbfa678119745a34721051de2f697766
1,🔴 Bad Trader,591.9585599999999,🐤 Regular User,🐟 Middle Value Trader,🐣 Unserious,2,0xa40e92329c017b569128e371eb0c3d58fc03a20a
1,🔴 Bad Trader,3.027157421934355,🐤 Regular User,🦐 Low Value Trader,🐣 Unserious,2,0x19a42013f9c1a225ec365bee1119e85d2086f083
1,🔴 Bad Trader,9797.162738791763,🐤 Regular User,🐟 Middle Value Trader,🐣 Unserious,2,0x6d8f2401eb7d839688d0bc03e465331321fc7da6
1,🔴 Bad Trader,209.4460577496,🐣 Occasional User,🐟 Middle Value Trader,🐣 Unserious,1,0xbbbe087f0284a193dea37bf6dbbfbe64153823d4
1,🔴 Bad Trader,2.2377991830912,🐤 Regular User,🦐 Low Value Trader,🐣 Unserious,2,0x39689e9c4767665d6c858a6dfce742d2c80b65ad
1,🔴 Bad Trader,129.54708975753087,🐣 Occasional User,🐟 Middle Value Trader,🐣 Unserious,1,0xb53921bf8804532211599beeb2e877ddb766d53d
1,🔴 Bad Trader,14.400475335422218,🐣 Occasional User,🦐 Low Value Trader,🐣 Unserious,1,0x6f51abc180bab37a2d778a3e090a1cde524f5210
1,🔴 Bad Trader,826.0731328713543,🐤 Regular User,🐟 Middle Value Trader,🐣 Unserious,3,0x8727404388f9dceaed977b93c4bed3ce4fc036f0
2,🔴 Bad Trader,10.792374176250798,🐤 Regular User,🦐 Low Value Trader,🐤 Just there,4,0x7f864bd71dce9a87117a11c22fb0b610f9ac7de1
1,🔴 Bad Trader,53.168339469749725,🐤 Regular User,🦐 Low Value Trader,🐣 Unserious,5,0xb467250041feb78c063c30702e10257d562b3d0c
1,🔴 Bad Trader,250.6586696300724,🐣 Occasional User,🐟 Middle Value Trader,🐣 Unserious,1,0x01cd5d82f4a369969dc399ca9315b0296c705e44
1,🔴 Bad Trader,147.33894263398824,🐣 Occasional User,🐟 Middle Value Trader,🐣 Unserious,1,0x840684dbf39fd1fd6948e7db653bd66d467b20c1
1,🔴 Bad Trader,1.1251255306041488,🐣 Occasional User,🦐 Low Value Trader,🐣 Unserious,1,0x35edb7500989f6e926c93226fafa9886e92b2209
1,🔴 Bad Trader,893.2041682816351,🐣 Occasional User,🐟 Middle Value Trader,🐣 Unserious,1,0x26684c49561011af7ffbcc2153187ac55ddff13a
1,🔴 Bad Trader,587.5113441767722,🐤 Regular User,🐟 Middle Value Trader,🐣 Unserious,6,0x4a08d9435c6553cdf458470684c54926fdd8a682
1,🔴 Bad Trader,334.9419010921728,🐣 Occasional User,🐟 Middle Value Trader,🐣 Unserious,1,0x2ba12dbf5904cd91c5257480252d8019982a48e9
1,🔴 Bad Trader,84.35715776426548,🐣 Occasional User,🐟 Middle Value Trader,🐣 Unserious,1,0x2222424bcca2f33eaac9299d272f2ae764786037
1,🔴 Bad Trader,1.899867,🐣 Occasional User,🦐 Low Value Trader,🐣 Unserious,1,0xa5334c1a4af696ed11afee300ba6d079411f6dd3
1,🔴 Bad Trader,21.1350806850309,🐣 Occasional User,🦐 Low Value Trader,🐣 Unserious,1,0x985b613a3234218322ce553a04404eed86522068
1,🔴 Bad Trader,1.567666016424749,🐣 Occasional User,🦐 Low Value Trader,🐣 Unserious,1,0xfc87a0724022ed489a923ab1f6a58fa63b3110f0
2,🔴 Bad Trader,5.77392247670599,🐤 Regular User,🦐 Low Value Trader,🐤 Just there,3,0x757c1d5ca5e3c92bb2e3fdcd6a861a4d2fd2c9f4
